工单编号,日期,渠道,客户类型,工单内容,期望处理,隐私已脱敏
TK-020,2026-07-20,邮件,个人用户,提交订单时应用闪退，重开后购物车为空；影响正常使用,解决问题并说明进度,是
TK-021,2026-07-21,在线客服,企业用户,在线客服排队四十分钟没有回复；请尽快处理,尽快联系人工,是
TK-022,2026-07-22,App反馈,个人用户,机器人循环回答，找不到人工入口；已经第二次遇到,尽快联系人工,是
TK-023,2026-07-23,电话转录,个人用户,商品详情写有配件，收到后没有配件；希望说明原因,解决问题并说明进度,是
TK-024,2026-07-24,邮件,个人用户,库存显示有货，下单后又通知缺货；影响正常使用,解决问题并说明进度,是
TK-025,2026-07-25,在线客服,个人用户,验证码收不到，重试三次仍未送达；请尽快处理,解决问题并说明进度,是
TK-026,2026-07-26,App反馈,企业用户,登录页面一直转圈，切换网络后才进入；已经第二次遇到,解决问题并说明进度,是
TK-027,2026-07-27,电话转录,个人用户,退款显示成功但三天后银行卡仍未到账；希望说明原因,解决问题并说明进度,是
TK-028,2026-07-28,邮件,个人用户,优惠券使用后支付金额没有变化；影响正常使用,解决问题并说明进度,是
TK-029,2026-07-01,在线客服,个人用户,订单显示已签收但我没有收到包裹；请尽快处理,解决问题并说明进度,是
TK-030,2026-07-02,App反馈,个人用户,预计次日达，第四天还在运输中；已经第二次遇到,解决问题并说明进度,是
TK-031,2026-07-03,电话转录,企业用户,打开订单页卡顿，列表加载超过十秒；希望说明原因,解决问题并说明进度,是
TK-032,2026-07-04,邮件,个人用户,提交订单时应用闪退，重开后购物车为空；影响正常使用,解决问题并说明进度,是
TK-033,2026-07-05,在线客服,个人用户,在线客服排队四十分钟没有回复；请尽快处理,尽快联系人工,是
TK-034,2026-07-06,App反馈,个人用户,机器人循环回答，找不到人工入口；已经第二次遇到,尽快联系人工,是
TK-035,2026-07-07,电话转录,个人用户,商品详情写有配件，收到后没有配件；希望说明原因,解决问题并说明进度,是
TK-036,2026-07-08,邮件,企业用户,库存显示有货，下单后又通知缺货；影响正常使用,解决问题并说明进度,是
TK-037,2026-07-09,在线客服,个人用户,验证码收不到，重试三次仍未送达；请尽快处理,解决问题并说明进度,是
TK-038,2026-07-10,App反馈,个人用户,登录页面一直转圈，切换网络后才进入；已经第二次遇到,解决问题并说明进度,是
TK-039,2026-07-11,电话转录,个人用户,退款显示成功但三天后银行卡仍未到账；希望说明原因,解决问题并说明进度,是
TK-040,2026-07-12,邮件,个人用户,优惠券使用后支付金额没有变化；影响正常使用,解决问题并说明进度,是
TK-041,2026-07-13,在线客服,企业用户,订单显示已签收但我没有收到包裹；请尽快处理,解决问题并说明进度,是
TK-042,2026-07-14,App反馈,个人用户,预计次日达，第四天还在运输中；已经第二次遇到,解决问题并说明进度,是
TK-043,2026-07-15,电话转录,个人用户,打开订单页卡顿，列表加载超过十秒；希望说明原因,解决问题并说明进度,是
TK-044,2026-07-16,邮件,个人用户,提交订单时应用闪退，重开后购物车为空；影响正常使用,解决问题并说明进度,是
TK-045,2026-07-17,在线客服,个人用户,在线客服排队四十分钟没有回复；请尽快处理,尽快联系人工,是
TK-046,2026-07-18,App反馈,企业用户,机器人循环回答，找不到人工入口；已经第二次遇到,尽快联系人工,是
TK-047,2026-07-19,电话转录,个人用户,商品详情写有配件，收到后没有配件；希望说明原因,解决问题并说明进度,是
TK-048,2026-07-20,邮件,个人用户,库存显示有货，下单后又通知缺货；影响正常使用,解决问题并说明进度,是
TK-049,2026-07-21,在线客服,个人用户,验证码收不到，重试三次仍未送达；请尽快处理,解决问题并说明进度,是
TK-050,2026-07-22,App反馈,个人用户,登录页面一直转圈，切换网络后才进入；已经第二次遇到,解决问题并说明进度,是
TK-051,2026-07-23,电话转录,企业用户,退款显示成功但三天后银行卡仍未到账；希望说明原因,解决问题并说明进度,是
TK-052,2026-07-24,邮件,个人用户,优惠券使用后支付金额没有变化；影响正常使用,解决问题并说明进度,是
TK-053,2026-07-25,在线客服,个人用户,订单显示已签收但我没有收到包裹；请尽快处理,解决问题并说明进度,是
TK-054,2026-07-26,App反馈,个人用户,预计次日达，第四天还在运输中；已经第二次遇到,解决问题并说明进度,是
TK-055,2026-07-27,电话转录,个人用户,打开订单页卡顿，列表加载超过十秒；希望说明原因,解决问题并说明进度,是
TK-056,2026-07-28,邮件,企业用户,提交订单时应用闪退，重开后购物车为空；影响正常使用,解决问题并说明进度,是
TK-057,2026-07-01,在线客服,个人用户,在线客服排队四十分钟没有回复；请尽快处理,尽快联系人工,是
TK-058,2026-07-02,App反馈,个人用户,机器人循环回答，找不到人工入口；已经第二次遇到,尽快联系人工,是
TK-059,2026-07-03,电话转录,个人用户,商品详情写有配件，收到后没有配件；希望说明原因,解决问题并说明进度,是
TK-060,2026-07-04,邮件,个人用户,库存显示有货，下单后又通知缺货；影响正常使用,解决问题并说明进度,是
TK-061,2026-07-05,在线客服,企业用户,验证码收不到，重试三次仍未送达；请尽快处理,解决问题并说明进度,是
TK-062,2026-07-06,App反馈,个人用户,登录页面一直转圈，切换网络后才进入；已经第二次遇到,解决问题并说明进度,是
TK-063,2026-07-07,电话转录,个人用户,退款显示成功但三天后银行卡仍未到账；希望说明原因,解决问题并说明进度,是
TK-064,2026-07-08,邮件,个人用户,优惠券使用后支付金额没有变化；影响正常使用,解决问题并说明进度,是
TK-065,2026-07-09,在线客服,个人用户,订单显示已签收但我没有收到包裹；请尽快处理,解决问题并说明进度,是
TK-066,2026-07-10,App反馈,企业用户,预计次日达，第四天还在运输中；已经第二次遇到,解决问题并说明进度,是
TK-067,2026-07-11,电话转录,个人用户,打开订单页卡顿，列表加载超过十秒；希望说明原因,解决问题并说明进度,是
TK-068,2026-07-12,邮件,个人用户,提交订单时应用闪退，重开后购物车为空；影响正常使用,解决问题并说明进度,是
TK-069,2026-07-13,在线客服,个人用户,在线客服排队四十分钟没有回复；请尽快处理,尽快联系人工,是
TK-070,2026-07-14,App反馈,个人用户,机器人循环回答，找不到人工入口；已经第二次遇到,尽快联系人工,是
TK-071,2026-07-15,电话转录,企业用户,商品详情写有配件，收到后没有配件；希望说明原因,解决问题并说明进度,是
TK-072,2026-07-16,邮件,个人用户,库存显示有货，下单后又通知缺货；影响正常使用,解决问题并说明进度,是
TK-073,2026-07-17,在线客服,个人用户,验证码收不到，重试三次仍未送达；请尽快处理,解决问题并说明进度,是
TK-074,2026-07-18,App反馈,个人用户,登录页面一直转圈，切换网络后才进入；已经第二次遇到,解决问题并说明进度,是
TK-075,2026-07-19,电话转录,个人用户,退款显示成功但三天后银行卡仍未到账；希望说明原因,解决问题并说明进度,是
TK-076,2026-07-20,邮件,企业用户,优惠券使用后支付金额没有变化；影响正常使用,解决问题并说明进度,是
TK-077,2026-07-21,在线客服,个人用户,订单显示已签收但我没有收到包裹；请尽快处理,解决问题并说明进度,是
TK-078,2026-07-22,App反馈,个人用户,预计次日达，第四天还在运输中；已经第二次遇到,解决问题并说明进度,是
TK-079,2026-07-23,电话转录,个人用户,打开订单页卡顿，列表加载超过十秒；希望说明原因,解决问题并说明进度,是
TK-080,2026-07-24,邮件,个人用户,提交订单时应用闪退，重开后购物车为空；影响正常使用,解决问题并说明进度,是
